city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Ahtopol,BG,42.10,27.95,64.87,75,100,4.16,overcast clouds
349,Santa Lucia,ES,27.91,-15.54,64.76,73,20,13.69,few clouds
350,Esmeraldas,BR,-19.76,-44.31,84.31,47,100,4.21,moderate rain
351,Yerbogachen,RU,61.28,108.01,45.64,74,99,8.99,overcast clouds
352,Muros,ES,42.78,-9.06,73.9,57,77,10.74,broken clouds
353,Sao Joao Da Barra,BR,-21.64,-41.05,82.49,82,95,12.75,overcast clouds
354,Yenagoa,NG,4.92,6.26,78.13,92,73,4.81,light rain
355,Asau,RO,46.43,26.40,54.95,80,59,1.88,broken clouds
356,Grindavik,IS,63.84,-22.43,46.87,81,40,15.57,scattered clouds
357,Mehamn,NO,71.04,27.85,42.98,93,75,9.22,broken clouds
358,Auki,SB,-8.77,160.70,75.88,89,17,3.18,few clouds
